Material Novo;Material antigo;Texto breve material;Centro;Depósito;Lote;Quantidade;Valor Unitário;Valor Total;Unidade
50080418;0;"AVENTAL DESCART;PP;BR;135X100CM;S/LOG";BRCV;MR01;O.PURCHASE;120;R$ 13,86;R$ 1.662,86;Jundiai (SALTO)
50080680;20016592;"JAQUETA;MUNOZ/JAQUETANYLONAZROYALPP";BRCS;MR01;O.PURCHASE;2;R$ 286,74;R$ 573,48;Embu (SUL)
50080680;20016592;"JAQUETA;MUNOZ/JAQUETANYLONAZROYALPP";BRCU;MR01;O.PURCHASE;4;R$ 312,21;R$ 1.248,84;Jaú
50080680;20016592;"JAQUETA;MUNOZ/JAQUETANYLONAZROYALPP";BRCV;MR01;O.PURCHASE;8;R$ 298,51;R$ 2.388,07;Jundiai (SALTO)
50080680;20016592;"JAQUETA;MUNOZ/JAQUETANYLONAZROYALPP";BRCX;MR01;O.PURCHASE;1;R$ 312,27;R$ 312,27;Mauá
50080680;20016592;"JAQUETA;MUNOZ/JAQUETANYLONAZROYALPP";BRD2;MR01;O.PURCHASE;1;R$ 333,82;R$ 333,82;São José dos Campos
50080680;20016592;"JAQUETA;MUNOZ/JAQUETANYLONAZROYALPP";BRD3;MR01;O.PURCHASE;5;R$ 353,36;R$ 1.766,81;Suzano
50080680;20016592;"JAQUETA;MUNOZ/JAQUETANYLONAZROYALPP";BRD4;MR01;O.PURCHASE;3;R$ 306,36;R$ 919,07;Votorantim (SALTO)
50080680;20016592;"JAQUETA;MUNOZ/JAQUETANYLONAZROYALPP";BRD5;MR01;O.PURCHASE;0;R$ 0,00;R$ 0,00;Taubaté
50080681;20016593;"JAQUETA;MUNOZ/JAQUETANYLONAZROYALEXG";BRCM;MR01;O.PURCHASE;0;R$ 0,00;R$ 0,00;Araçatuba
50080681;20016593;"JAQUETA;MUNOZ/JAQUETANYLONAZROYALEXG";BRCN;MR01;O.PURCHASE;7;R$ 463,45;R$ 3.244,16;Araraquara
50080681;20016593;"JAQUETA;MUNOZ/JAQUETANYLONAZROYALEXG";BRCO;MR01;O.PURCHASE;6;R$ 446,80;R$ 2.680,80;Barueri
50080681;20016593;"JAQUETA;MUNOZ/JAQUETANYLONAZROYALEXG";BRCQ;MR01;O.PURCHASE;7;R$ 457,28;R$ 3.200,99;Campinas
50080681;20016593;"JAQUETA;MUNOZ/JAQUETANYLONAZROYALEXG";BRCR;MR01;O.PURCHASE;15;R$ 450,52;R$ 6.757,75;Diadema
50080681;20016593;"JAQUETA;MUNOZ/JAQUETANYLONAZROYALEXG";BRCT;MR01;O.PURCHASE;3;R$ 468,99;R$ 1.406,98;Guarulhos
50080681;20016593;"JAQUETA;MUNOZ/JAQUETANYLONAZROYALEXG";BRCU;MR01;O.PURCHASE;1;R$ 453,85;R$ 453,85;Jaú
50080681;20016593;"JAQUETA;MUNOZ/JAQUETANYLONAZROYALEXG";BRCV;MR01;O.PURCHASE;4;R$ 492,63;R$ 1.970,53;Jundiai (SALTO)
50080681;20016593;"JAQUETA;MUNOZ/JAQUETANYLONAZROYALEXG";BRCX;MR01;O.PURCHASE;6;R$ 449,93;R$ 2.699,59;Mauá
50080681;20016593;"JAQUETA;MUNOZ/JAQUETANYLONAZROYALEXG";BRCY;MR01;O.PURCHASE;4;R$ 418,73;R$ 1.674,93;Mogi Mirim
50080681;20016593;"JAQUETA;MUNOZ/JAQUETANYLONAZROYALEXG";BRD0;MR01;O.PURCHASE;0;R$ 0,00;R$ 0,00;Presidente Prudente
50080681;20016593;"JAQUETA;MUNOZ/JAQUETANYLONAZROYALEXG";BRD2;MR01;O.PURCHASE;2;R$ 416,27;R$ 832,53;São José dos Campos
